,TOOL_NAME,LOTID,GLSID,RECIPEID,MODEL_NAME,TIME_STAMP,PAS?∞Îèô?¨Î?,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max,Normal/Abnormal,Ï∂îÍ??ïÎ≥¥_Data_Resume
11,Tool4,P8CB1500QV00,P8CB1500N607,RUN_1ST_23,CB,2011-05-15 4:28,NG,338.08,0.640935139,359.03,0.176827356,132,0,0.09375,0,30,0,1886.89,3.250874008,40051.77,13.4409836,25012.14,3.63434662,0,22.55,0.011529446,9886.88,1.803863185,1460.78,52.85,0.638217885,2759.99,6.061407048,66034.09,34.95038353,29020.02,9.796397961,0.000188869,32.82,0.064754021,22734.86,3.466878696,6805.23,2.029103611,115.73,546.1759141,99.17,99.56,100,Normal,Normal
12,Tool1,P8CB1500QZ00,P8CB1500N015,RUN_1ST_23,CB,2011-05-15 4:38,NG,338.28,0.659700894,359.11,0.337593574,132,0,0.122,0.01,21.56,0.502518908,2006.44,4.319909277,40011.56,32.66329461,24984.77,6.055916729,0,22.77,0.012862914,10004.56,1.729380584,296.89,38.82,2.20349818,2987.72,3.476529188,66007.2,33.71677653,28989.89,5.118524,0.000182482,33.31,0.0639748,22971.37,2.606614194,6803.16,2.340974465,184.34,251.9685039,97.46,98.24,98.8,Normal,Normal
13,Tool1,P8CB1500QZ00,P8CB1500N005,RUN_1ST_23,CB,2011-05-15 4:46,NG,337.56,0.496251373,359.18,0.385449243,132,0,0.1105,0.01,27,0,2003.82,4.457931146,40030.96,28.64682614,24984.67,5.161248571,0,22.98,0.021084497,10005.29,1.68552043,460.48,49.63,1.055111707,2984.38,2.851158104,66003.38,29.1393745,28989.48,5.424973956,0.000273201,33.57,0.054653343,22969.1,2.400897545,6803.72,2.469615287,202.4,285.6619667,97.89,98.28,98.57,Normal,Normal
14,Tool3,P8CB1500R000,P8CB1500N716,RUN_1ST_23,CB,2011-05-15 4:56,OK,339.52,0.500090727,359.26,0.438318017,134,0,0.07525,0,38,0,1953.36,4.329943923,40100.21,24.51163217,24984.12,20.1217375,0,20.69,0.013876151,9892.63,2.130037456,403.83,68.08,0.734843306,2916.6,2.763711098,66106.55,27.58915913,28994.19,8.627779634,0.000306715,31.42,0.038078575,22742.35,2.781872945,6783.33,2.362886791,159.92,566.4408228,98.76,100,101.07,Normal,Normal
15,Tool4,P8CB1500R300,P8CB1500Q919,RUN_1ST_23,CB,2011-05-15 5:46,NG,338.59,0.501063228,359.08,0.269545101,132,0,0.082375,0,29.4,0.495433694,1886.8,4.191983692,40054.04,15.87096292,25011.9,5.341892974,0,22.5,0.015465831,9844.39,2.009316518,1316.97,52.53,0.58577378,2763.48,5.531275107,66036.1,34.88429211,29019.99,6.090450468,0.000177491,32.83,0.064729594,22685.79,10.18756488,6803.98,2.300811371,166.76,494.1707868,99.92,100.18,100.74,Normal,Normal
16,Tool3,P8CB1500R500,P8CB1500Q805,RUN_1ST_23,CB,2011-05-15 6:54,OK,338.28,0.571025064,358.32,0.527190728,131.97,0.158685517,0.095,0,42.22,0.420437483,1957.22,4.231316628,40075.36,30.38641917,24986.27,26.66186842,0,20.82,0.018068333,9891.43,1.543078032,477.08,73.73,0.85711913,2925,16.68506779,66095.1,28.15985029,28993.64,17.63368912,0.000242159,31.84,0.065825502,22743.74,2.518074132,6783.83,3.158019702,166.27,580.8459989,99.15,99.62,99.84,Normal,Normal
17,Tool2,P8CB1500R500,P8CB1500Q802,RUN_1ST_23,CB,2011-05-15 6:56,OK,338.21,0.448412576,358.69,0.636807084,128.14,0.346139151,0.0745,0,23,0,1825.98,2.367302816,40015.48,23.38862116,25008.39,10.65642579,0,22,0.027018903,9888.88,1.884586671,1097.72,41.77,2.742281545,2629.07,3.184531942,66022.23,33.88820266,29012.27,22.83728543,0.000304395,32.17,0.071688659,22723.14,2.824864043,6786.83,3.207806651,252.21,416.2851737,100.25,101.23,102.75,Normal,Normal
18,Tool4,P8CB1500R500,P8CB1500QA05,RUN_1ST_23,CB,2011-05-15 7:08,OK,337,0.697297399,358.8,0.397131247,132,0,0.106125,0.01,28,0,1887.2,5.042053594,40048.61,14.4858208,25011.44,8.508990787,0,22.38,0.012463477,9870.07,1.527197482,1192.21,49.83,0.812777714,2771.4,5.429649847,66034.16,35.05244699,29019.28,4.633317019,0.000275903,32.64,0.057359176,22679.41,6.209706923,6805.11,2.14831366,165.05,287.3710554,100.21,100.28,100.46,Normal,Normal
19,Tool2,P8CB1500R500,P8CB1500QA04,RUN_1ST_23,CB,2011-05-15 7:09,OK,338.5,0.500386843,359,0,130.36,0.479646512,0.086,0.01,30.86,0.350604604,1813.05,4.556280273,40026.06,26.27865048,25006.21,13.02257337,0,22.4,0.017840191,9890.64,1.710594438,1197.34,56.94,0.679029549,2613.01,3.803234319,66032.27,34.38990211,29011.41,14.96725697,0.000239427,32.58,0.046137741,22724.24,3.209795345,6786.68,2.537407995,238.54,431.9111274,99.99,100.69,101.75,Normal,Normal
20,Tool2,P8CB1500R600,P8CB1500Q820,RUN_1ST_23,CB,2011-05-15 10:18,OK,336.82,0.640466371,358.58,0.493314936,131,0,0.07975,0.01,28.53,0.504524979,1813.22,4.038951759,40021.97,23.63165923,25007.29,8.950582539,0.000386646,22.25,0.030363122,9889.93,1.96068649,831.35,53.73,0.884207562,2609.25,3.914360269,66031.04,36.83449907,29011.26,16.49914296,0.000190574,32.42,0.042774958,22723.82,2.837820153,6786.92,2.569035345,250.5,246.1087713,99.96,100.12,100.49,Normal,Normal
21,Tool3,P8CB1500R700,P8CB1500QE18,RUN_1ST_23,CB,2011-05-15 11:08,OK,337.04,0.632486442,358.21,0.40985501,130.03,0.162923034,0.080625,0,37,0,1953.69,4.230958532,40084.15,35.42588775,24984.84,24.5245551,0,20.46,0.014967979,9892.41,1.569196864,387.23,66.69,0.834875916,2903.62,6.774573078,66099.82,23.99608761,28994.46,18.79530332,0.000222323,31.06,0.065085719,22744.4,2.555744739,6784.36,2.330026374,149.18,151.3764268,100.09,99.38,99.04,Normal,Normal
22,Tool3,P8CB1500R700,P8CB1500QE10,RUN_1ST_23,CB,2011-05-15 11:14,OK,337.59,0.49221977,358.73,0.442607728,131.71,0.453938679,0.076375,0,38.33,0.476731295,1944.82,5.436780836,40109.71,35.00577573,24982.54,20.25359962,0,20.6,0.015785814,9891.64,2.148612774,408.23,68.29,0.743081231,2893.93,3.182319195,66105.45,22.18239103,28994.24,12.40035993,0.000266115,31.23,0.060998324,22744.53,2.837766847,6783.02,2.994875374,180.92,107.6725874,99.97,99.32,98.84,Normal,Normal
23,Tool4,P8CB1500R700,P8CB1500QE07,RUN_1ST_23,CB,2011-05-15 11:16,OK,338.3,0.713117184,359,0,131,0,0.08525,0,33,0,1884.73,5.654443144,40049.48,12.98643696,25011.36,4.549569647,0,22.68,0.011159993,9871.45,1.590634978,1249.59,56.98,0.590168519,2752.19,4.279327046,66036.27,35.16605778,29019.95,5.788093086,0.000180379,33.03,0.069735318,22672.76,13.38779956,6804.19,2.326298941,143.32,125.2517854,100.71,100.13,98.7,Normal,Normal
24,Tool4,P8CB1500R800,P8CB1500QF11,RUN_1ST_23,CB,2011-05-15 11:29,NG,339.77,0.562640366,359.5,0.500369081,131,0,0.099875,0,34.44,0.502518908,1880.42,5.395658562,40047.69,12.05814643,25012.92,7.139675572,0,22.89,0.005988204,9875.11,1.27106985,1169.02,59.54,0.517817047,2743.72,8.92454287,66035.51,33.49267777,29019.81,8.717964808,0.000258579,33.38,0.058592614,22681.55,9.067165331,6805.16,2.176776995,149.91,130.623207,100.7,100.28,99.67,Normal,Normal
25,Tool1,P8CB1500R900,P8CB1500QG18,RUN_1ST_23,CB,2011-05-15 11:54,OK,337.23,0.674818541,358.05,0.228022566,132,0,0.12,0.01,28,0,2007.67,3.377734582,40026.21,38.33107466,24985.32,7.527128875,0,22.89,0.012321452,10006.1,1.872321391,492.22,49.66,0.997485489,2971.36,3.001541025,66004.29,40.44266049,28989.7,5.108253181,0.000182482,33.47,0.059619738,22970.44,2.893845793,6802.72,2.283571846,212.17,441.4331929,99.95,99.21,97.66,Normal,Normal
26,Tool2,P8CB1500R900,P8CB1500QG09,RUN_1ST_23,CB,2011-05-15 12:03,OK,336.48,0.500169001,358.82,0.38696537,130,0,0.095125,0.01,28.07,0.25226249,1811.93,3.380424933,40026.04,19.84894476,25008.78,16.29667596,0.000386646,22.25,0.034798119,9889.85,2.498462831,802.05,53.27,0.85711913,2612.84,2.692800347,66034.61,32.36812872,29012.22,16.86076089,0.000118117,32.47,0.057281437,22723.82,2.925638766,6787.78,3.192514374,225.36,161.6309589,100.01,100.91,102.46,Normal,Normal
27,Tool2,P8CB1500RB00,P8CB1500QC18,RUN_1ST_23,CB,2011-05-15 13:17,OK,337.34,0.627933745,358.5,0.500386017,131,0,0.077875,0,32,0,1810.71,3.622042507,40018.23,19.35545995,25007.43,15.23750832,0,22.36,0.011191627,9890.05,2.10078899,995.42,58.74,0.552857594,2597.34,3.18307821,66033.07,36.09171057,29011.58,27.14657535,0.000297776,32.54,0.061654952,22724.08,3.177147181,6787.92,3.525032495,246.11,677.7757431,99.87,100.03,100,Normal,Normal
28,Tool1,P8CB1500RF00,P8CB1500QH07,RUN_1ST_23,CB,2011-05-15 13:26,NG,338.85,0.577985093,359.21,0.40587888,132,0,0.09475,0.01,35.86,0.347141757,1994.7,4.327196554,40013.98,40.63852455,24985.43,8.489586661,0,23.57,0.016911347,10005.99,1.825350138,399.68,60.69,0.641763472,2969.88,2.464642363,66007.1,34.97901791,28989.55,4.776045589,0.00018205,34.34,0.056450907,22971.51,2.699357528,6802.5,1.89607933,137.46,666.5445889,99.33,98.96,98.75,Normal,Normal
29,Tool4,P8GA1500HD00,P8GA1500GZ19,RUN_1ST_23,GA,2011-05-15 17:40,OK,336.88,0.643952696,358.4,0.490941446,131.02,0.13787999,0.098625,0.01,24.2,0.408032457,1870.41,3.308327631,40049.28,12.86867023,25010.89,3.916021199,0,22.21,0.006611381,9869.36,1.420787467,1142.4,43.86,1.15840834,2731.88,3.702404619,66034.39,38.16786328,29019.52,7.538863561,0.00021015,32.47,0.053842496,22676.26,3.820500171,6805.48,1.248022607,169.93,302.020387,100.59,99.89,98.46,Normal,Normal
30,Tool1,P8GA1500HD00,P8GA1500GZ16,RUN_1ST_23,GA,2011-05-15 17:41,OK,337.11,0.609060378,358.29,0.454652028,130.73,0.446715884,0.11176,0.01,25,0,2000.6,4.201731245,40008.46,38.09068094,24984.03,4.843062971,0,22.82,0.010357255,10005.82,2.44709796,427.76,45.61,1.288677099,2975.66,5.01570942,66001.49,42.54198514,28989.76,5.433311377,0.00023533,33.36,0.048276959,22971.6,2.525327345,6803.19,2.620889947,228.29,175.7919795,100.67,99.48,97.66,Normal,Normal
31,Tool2,P8GA1500HD00,P8GA1500GZ11,RUN_1ST_23,GA,2011-05-15 17:45,OK,337.51,0.50035255,358.71,0.452304326,131,0,0.086625,0.01,28.05,0.210707055,1809.77,3.8631451,40022.97,20.63224692,25007.77,20.1795171,0.000408032,22.22,0.063961454,9889.96,1.758087542,1037.42,53.08,0.910259678,2602.01,3.359508479,66030.22,38.71047727,29011.15,13.59566625,0.000292394,32.44,0.060337052,22723.98,3.268435096,6787.85,2.338247502,189.22,114.0206311,100.41,100.68,101.16,Normal,Normal
32,Tool2,P8GA1500HF00,P8GA1500GY20,RUN_1ST_23,GA,2011-05-15 19:23,OK,337.42,0.505537436,358.25,0.433775639,130.84,0.369774566,0.08052,0,33,0,1811.58,3.434377599,40019.53,15.45928887,25007.09,21.56371225,0,22.38,0.015579707,9890.05,1.744007682,763.96,60.52,0.705032941,2593.48,3.527066686,66027.44,35.31454079,29010.69,15.29404112,0.000203859,32.64,0.066009569,22724.43,3.058034799,6788.06,2.728259633,277.12,255.1425258,99.83,99.57,98.83,Normal,Normal
33,Tool4,P8GA1500HF00,P8GA1500GY05,RUN_1ST_23,GA,2011-05-15 19:33,OK,338.22,0.69410709,358.98,0.152458102,132,0,0.085,0,33,0,1877.93,4.484587183,40056.27,13.7507075,25009.99,5.301002264,0,22.64,0.018476601,9876.06,1.355024453,1141.43,57.44,0.622140314,2723.3,3.388789341,66037.29,36.19318385,29020.1,6.281869942,0.000177491,33.06,0.061862285,22707.52,5.234228778,6804.12,2.640242386,123.54,506.6227187,101.21,100.34,98.63,Normal,Normal
34,Tool4,P8GA1500H100,P8GA1500H107,RUN_1ST_23,GA,2011-05-15 19:46,OK,339.7,0.53697504,359.44,0.496342025,132,0,0.09485,0,35,0,1877.29,5.074993158,40049.64,12.86695626,25011.36,7.271552329,0,22.9,0.007198485,9858.72,1.950294081,1178.54,59.69,0.464933509,2734.29,3.924710666,66033.89,32.95123655,29020.39,9.296030872,0.000211969,33.4,0.072123332,22679.33,19.53323327,6805.22,2.14379954,151.38,285.1736556,100.96,100.31,99.3,Normal,Normal
35,Tool3,P8GA1500H200,P8GA1500H217,RUN_1ST_23,GA,2011-05-15 20:38,OK,339.35,0.69628024,359.15,0.359741321,129.29,0.454094644,0.08976,0,43.64,0.484090316,1958.56,7.835106182,40074.71,22.50039533,24986.47,23.02696825,0,20.97,0.014967979,9891.27,2.183793421,534.21,74.43,0.715232635,2910.65,10.69264038,66093.26,23.63022656,28991.76,19.06077762,0.000191008,31.81,0.053381078,22743.28,2.772568359,6783.91,1.098295448,189.95,566.4408228,101.74,100.58,99.34,Normal,Normal
36,Tool3,P8GA1500H200,P8GA1500H215,RUN_1ST_23,GA,2011-05-15 20:41,OK,338.21,0.406789661,358.26,0.436843924,130.42,0.494362551,0.081205,0,43.98,0.150755672,1951.45,4.632817945,40074.25,34.77412541,24988.07,24.60395921,0,21.1,0.015517841,9892.34,1.558784164,359.89,75.04,0.709170783,2890.03,3.031882435,66101.84,26.66991639,28994.54,16.69066081,0.000242159,31.87,0.063419933,22743.71,2.438613477,6784.37,1.011128613,187.02,334.2489166,100.92,100.39,99.93,Normal,Normal
37,Tool4,P8GA1500H200,P8GA1500H203,RUN_1ST_23,GA,2011-05-15 21:05,OK,337.08,0.514862684,358.74,0.436271242,131,0,0.118625,0.01,25,0,1883.57,2.823470792,40050.27,11.0114902,25012.07,3.632314177,0,22.24,0.01388567,9840.56,1.826805948,1055.24,44.26,1.198045572,2749.71,3.994374351,66033.45,37.27145706,29018.93,4.802099714,0.000241779,32.5,0.058891304,22676.25,26.67622864,6805.34,1.320590389,139.17,126.9608741,100.42,100.33,99.79,Normal,Normal
38,Tool4,P8GA1500H300,P8GA1500H315,RUN_1ST_23,GA,2011-05-15 21:12,OK,337.51,0.500150783,359,0,131.95,0.225337728,0.126245,0.01,28,0,1893.48,4.597717514,40047.28,15.43358761,25011.24,3.796658585,0,22.4,0.014913422,9861.96,1.943385606,1334.8,49.98,0.849635726,2770.71,4.608119684,66035.04,38.92245848,29020.12,8.218916673,0.000246238,32.66,0.076549589,22692.72,16.86238909,6804.47,2.598973185,133.31,127.9374962,100.69,100.58,100.1,Normal,Normal
39,Tool4,P8GA1500H400,P8GA1500H415,RUN_1ST_23,GA,2011-05-15 21:27,OK,339.67,0.539432905,359.53,0.499745622,132,0,0.094,0,32,0,1892.69,5.204116475,40045.58,14.80571824,25012.78,6.533461963,0,22.68,0.016137039,9894.61,1.635775769,1281.57,55.94,0.528016897,2769.74,5.657487822,66034.63,31.71287159,29020.02,7.369770214,0.000177093,33.06,0.060884979,22716.81,3.665261803,6805.03,2.002734814,64.46,133.0647623,100.63,100.7,100.7,Normal,Normal
40,Tool1,P8GA1500H400,P8GA1500H410,RUN_1ST_23,GA,2011-05-15 21:31,OK,339.61,0.488834429,359.48,0.499818021,132,0,0.10325,0.01,33.89,0.317820863,2006.18,4.307967718,40005.7,48.55844371,24983.21,7.127805771,0,23.45,0.025662928,10005.86,1.683731959,412.13,58.79,0.864768181,2987.1,12.90273736,66006.46,36.09182309,28990.67,4.408159705,0.000207234,34.27,0.05705355,22971.21,2.670659686,6802.9,2.276212233,219.98,397.9735091,99.79,99.1,98.11,Normal,Normal
41,Tool2,P8GA1500HJ00,P8GA1500HB04,RUN_1ST_23,GA,2011-05-15 23:01,OK,338.13,0.558354589,358.61,0.565218796,129.45,0.497772258,0.076,0,36.44,0.502518908,1816.33,3.723390439,40006.35,19.6044463,25007.29,17.84589414,0,22.53,0.017618287,9889.36,2.325748149,1142.4,64.27,0.712908204,2596.38,2.298684184,66023.4,29.04660262,29010.53,20.90570645,0.000231116,32.94,0.066832927,22723.58,2.704068251,6787.23,3.496610805,290.3,389.1839102,99.67,99.92,100.22,Normal,Normal
42,Tool1,P8GA1500HJ00,P8GA1500HB01,RUN_1ST_23,GA,2011-05-15 23:03,OK,337.32,0.634942044,358.05,0.215584145,130.7,0.457557496,0.096,0,36,0,2004.89,4.779879871,39996.17,106.2324817,24985.16,5.350916915,0,23.52,0.012060454,10005.41,1.577432594,380.64,62.81,0.724081899,2964.96,3.919912013,66002.03,35.50727362,28990.03,6.880001763,0.000293644,34.3,0.039551406,22971.28,2.616673209,6804.38,1.629449482,238.05,670.2069218,100.75,99.46,97.65,Normal,Normal
43,Tool4,P8GA1500HP00,P8GA1500H704,RUN_1ST_23,GA,2011-05-16 0:33,OK,338.03,0.611371415,358.54,0.57014862,128.93,0.250517125,0.09614,0,21,0,1917.8,2.529634089,40044.28,14.56001745,25009.5,5.85819129,0,21.98,0.014320405,9883.14,1.265760308,1515.96,37.02,2.352452707,2738.43,25.48201911,66031.02,33.40018678,29018.43,5.756543705,0.00022397,32.25,0.089930532,22654.8,9.497030978,6804.32,1.611416951,120.12,490.9967649,102.41,101.22,98.77,Normal,Normal
44,Tool4,P8GA1500HL00,P8GA1500HB16,RUN_1ST_23,GA,2011-05-16 1:17,OK,336.82,0.660801949,358.54,0.498603799,130.27,0.446736228,0.09175,0,31.14,0.347141757,1884.18,5.012879817,40049.28,17.61632406,25011.1,5.123433199,0,22.56,0.02265655,9856.63,1.455295592,1141.43,55.15,0.596853317,2747.16,5.971783594,66036.5,41.59727138,29020.46,6.58001863,0.000253709,32.92,0.063745152,22688.77,7.962370883,6805.23,2.380476246,155.77,143.3192944,101.23,100.32,98.9,Normal,Normal
